classname,subject,img,Tights,Lifejacket,Girl,Asleep,Toilet,Vespa,Console,Underwear,Potted Plant,People,Female,Headrest,Laptop,Mobile Phone,Motor Scooter,Couch,Car Seat,Convertible,Portrait,Sedan,Motor,Art,Moped,Face,TV,Train Station,Kid,Cell Phone,Seat Belt,Scooter,Sink,Suv,Ankle,Television,Cap,Hotel,Sunglasses,Monitor,Selfie,Human,Driving,Baby,Lighting,Goggles,Motorcycle,Van,Swimwear,Vest,Smile,Finger,Latex Clothing,Belt,Glasses,Lingerie,Subway,Bowl,Military Uniform,Backpack,Umbrella,Hospital,Cockpit,Child,Dessert,Hot Rod,Arm,LCD Screen,Woman,Water,Cake,Train,Automobile,Bag,Spandex,Boy,LED,Hat,Electronics,Furniture,Windshield,Hair,Diver,Haircut,Food,Pc,Bumper,Phone,Person,Diving,Head,Cushion,Bra,Night Club,Accessories,Spotlight,Surgery,Clothing,Sun Hat,X-Ray,Bottle,Black Hair,Apparel,Swimming,Dimples,Bikini,Maillot,Chair,Suitcase,Luggage,Night Life,Sport,Vehicle,Computer,Screen,Resort,Plant,Officer,Operating Theatre,Car,Scuba Diving,Military,Modern Art,Trunk
c0,p002,img_44733.jpg,0,0,0,0,0,0,0,0,0,98.93968963623047,50.51176071166992,0,0,0,0,0,0,0,51.44181823730469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.44181823730469,98.89417266845703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.42793655395508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9397201538086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.42793655395508,0,0,0,0,0,0,62.42793655395508,0,0,0,0
c0,p002,img_72999.jpg,0,0,0,0,0,0,0,0,0,98.60073852539062,0,0,0,0,0,0,0,0,50.536190032958984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.536190032958984,98.50341796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.80501556396484,0,0,0,0,0,0,50.55463409423828,0,0,0,0,0,0,0,0,98.60077667236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.55463409423828,0,0,0,0,67.80501556396484,0,0,0,0,0,0,67.80501556396484,0,0,0,0
c0,p002,img_25094.jpg,0,0,0,0,0,0,0,0,0,98.37713623046875,0,0,0,0,0,0,0,0,52.321197509765625,0,0,0,0,51.58272933959961,0,0,64.04864501953125,0,0,0,0,0,0,0,0,0,0,0,51.58272933959961,98.2408676147461,0,51.905601501464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.04864501953125,0,0,0,0,0,0,0,0,92.6601791381836,0,0,0,0,0,0,65.22059631347656,0,52.321197509765625,0,52.321197509765625,0,0,0,0,98.377197265625,0,51.51850509643555,0,0,0,56.17597579956055,0,0,0,0,0,0,0,0,0,0,0,0,65.22059631347656,0,0,0,0,92.6601791381836,0,0,0,0,0,0,92.6601791381836,0,0,0,0
c0,p002,img_69092.jpg,0,0,0,0,0,0,0,0,0,98.86127471923828,53.601654052734375,0,0,0,0,0,0,0,52.63942337036133,0,0,0,0,52.92972946166992,0,0,51.819358825683594,0,0,0,62.64729309082031,0,0,0,0,0,0,0,52.92972946166992,98.80464172363281,0,51.819358825683594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.819358825683594,0,0,0,0,0,0,0,0,92.30644989013672,0,0,0,0,50.90721893310547,0,0,0,52.491294860839844,0,52.491294860839844,0,0,0,0,98.86129760742188,0,52.355472564697266,0,0,0,55.443660736083984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30644989013672,0,0,0,0,0,0,92.30644989013672,0,0,0,0
c0,p002,img_92629.jpg,0,0,0,0,0,0,0,0,0,98.69660949707031,0,0,0,0,0,0,0,0,56.05387878417969,0,0,0,0,51.920745849609375,0,0,52.6684455871582,0,0,0,55.40349578857422,0,0,0,0,0,50.57510757446289,0,52.488922119140625,98.61489868164062,0,52.6684455871582,0,50.57510757446289,0,0,0,0,0,0,0,0,50.57510757446289,0,0,0,0,0,0,0,0,52.6684455871582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.05387878417969,0,56.05387878417969,0,0,0,0,98.69664764404297,0,51.471805572509766,0,0,0,54.18730926513672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0,p002,img_3370.jpg,0,0,0,0,0,0,51.1241569519043,0,0,98.80510711669922,52.50220489501953,0,0,0,0,0,58.853233337402344,75.44025421142578,52.07208251953125,0,0,0,0,0,0,0,0,0,58.853233337402344,0,0,0,0,0,0,0,0,0,52.07208251953125,98.74018096923828,0,0,0,0,0,0,0,0,0,0,0,58.853233337402344,0,0,0,54.02638244628906,0,0,0,0,0,0,0,75.44025421142578,0,0,0,0,0,0,95.76119995117188,0,0,0,0,0,0,50.79637145996094,0,0,0,0,0,0,0,0,98.80514526367188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.79637145996094,0,0,0,0,95.76119995117188,0,0,0,0,0,0,95.76119995117188,0,0,0,0
c0,p002,img_67639.jpg,0,0,0,0,0,0,0,0,0,98.74737548828125,50.58712387084961,0,0,0,0,0,0,82.47986602783203,0,0,0,0,0,0,0,0,51.105552673339844,0,0,0,0,0,0,0,0,0,0,0,0,98.67363739013672,0,51.105552673339844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.105552673339844,0,82.47986602783203,0,0,0,0,0,0,82.47986602783203,0,0,0,0,0,0,61.86820983886719,0,0,0,0,0,0,0,0,98.74740600585938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.86820983886719,0,0,0,0,82.47986602783203,0,0,0,0,0,0,82.47986602783203,0,0,0,0
c0,p002,img_58560.jpg,0,0,0,51.00446319580078,0,0,0,0,0,98.9083251953125,52.1527099609375,0,0,0,0,0,0,0,51.25320053100586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.25320053100586,98.85842895507812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9276123046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.31204223632812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9083480834961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.31204223632812,0,0,0,0,0,0,92.31204223632812,0,0,0,0
c0,p002,img_35779.jpg,0,0,0,0,0,0,0,0,0,98.75557708740234,51.78276443481445,0,0,0,0,0,0,81.27803802490234,54.45196533203125,0,0,0,0,51.6186408996582,0,0,52.288604736328125,0,0,0,0,0,0,0,0,0,0,0,51.6186408996582,98.68309783935547,0,52.288604736328125,0,0,0,0,0,0,0,0,0,0,0,0,0,52.551151275634766,0,0,0,0,0,52.288604736328125,0,81.27803802490234,0,0,0,0,0,0,97.96280670166016,0,0,0,0,51.00358200073242,0,54.08486557006836,0,54.45196533203125,0,54.45196533203125,0,0,0,0,98.755615234375,0,50.962425231933594,0,0,0,51.515132904052734,0,0,0,0,0,0,0,0,0,0,0,0,54.08486557006836,0,0,0,0,97.96280670166016,0,0,0,0,0,0,97.96280670166016,0,0,0,0
c0,p002,img_10012.jpg,0,0,0,0,0,0,50.50542449951172,0,0,98.74845123291016,50.88019561767578,0,0,0,0,0,0,75.97543334960938,0,0,0,0,0,0,0,0,0,0,0,0,73.852783203125,0,0,0,0,0,0,0,0,98.67488098144531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.06255340576172,0,0,0,0,0,0,0,75.97543334960938,0,0,0,0,0,0,92.60002136230469,0,0,0,0,0,0,58.58457565307617,0,0,0,0,0,0,0,0,98.74848937988281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.58457565307617,0,0,0,0,92.60002136230469,0,0,0,0,0,0,92.60002136230469,0,0,0,0
